block_lat,block_lon,fold,lat_min,lat_max,lon_min,lon_max
-43,60,0,-21.5,-21.0,30.0,30.5
-43,93,0,-21.5,-21.0,46.5,47.0
-42,45,0,-21.0,-20.5,22.5,23.0
-42,58,0,-21.0,-20.5,29.0,29.5
-42,114,0,-21.0,-20.5,57.0,57.5
-41,33,0,-20.5,-20.0,16.5,17.0
-41,55,0,-20.5,-20.0,27.5,28.0
-41,64,0,-20.5,-20.0,32.0,32.5
-41,114,0,-20.5,-20.0,57.0,57.5
-40,54,0,-20.0,-19.5,27.0,27.5
-40,59,0,-20.0,-19.5,29.5,30.0
-40,62,0,-20.0,-19.5,31.0,31.5
-40,92,0,-20.0,-19.5,46.0,46.5
-40,94,0,-20.0,-19.5,47.0,47.5
-40,96,0,-20.0,-19.5,48.0,48.5
-39,59,0,-19.5,-19.0,29.5,30.0
-39,65,0,-19.5,-19.0,32.5,33.0
-39,93,0,-19.5,-19.0,46.5,47.0
-39,96,0,-19.5,-19.0,48.0,48.5
-38,36,0,-19.0,-18.5,18.0,18.5
-38,51,0,-19.0,-18.5,25.5,26.0
-38,56,0,-19.0,-18.5,28.0,28.5
-38,57,0,-19.0,-18.5,28.5,29.0
-38,60,0,-19.0,-18.5,30.0,30.5
-38,64,0,-19.0,-18.5,32.0,32.5
-38,66,0,-19.0,-18.5,33.0,33.5
-38,70,0,-19.0,-18.5,35.0,35.5
-38,91,0,-19.0,-18.5,45.5,46.0
-37,27,0,-18.5,-18.0,13.5,14.0
-37,30,0,-18.5,-18.0,15.0,15.5
-37,41,0,-18.5,-18.0,20.5,21.0
-37,62,0,-18.5,-18.0,31.0,31.5
-37,65,0,-18.5,-18.0,32.5,33.0
-37,68,0,-18.5,-18.0,34.0,34.5
-37,70,0,-18.5,-18.0,35.0,35.5
-37,73,0,-18.5,-18.0,36.5,37.0
-36,27,0,-18.0,-17.5,13.5,14.0
-36,30,0,-18.0,-17.5,15.0,15.5
-36,33,0,-18.0,-17.5,16.5,17.0
-36,39,0,-18.0,-17.5,19.5,20.0
-36,41,0,-18.0,-17.5,20.5,21.0
-36,42,0,-18.0,-17.5,21.0,21.5
-36,45,0,-18.0,-17.5,22.5,23.0
-36,47,0,-18.0,-17.5,23.5,24.0
-36,57,0,-18.0,-17.5,28.5,29.0
-36,64,0,-18.0,-17.5,32.0,32.5
-36,66,0,-18.0,-17.5,33.0,33.5
-36,68,0,-18.0,-17.5,34.0,34.5
-36,70,0,-18.0,-17.5,35.0,35.5
-36,74,0,-18.0,-17.5,37.0,37.5
-36,96,0,-18.0,-17.5,48.0,48.5
-35,32,0,-17.5,-17.0,16.0,16.5
-35,54,0,-17.5,-17.0,27.0,27.5
-35,59,0,-17.5,-17.0,29.5,30.0
-35,63,0,-17.5,-17.0,31.5,32.0
-35,69,0,-17.5,-17.0,34.5,35.0
-34,29,0,-17.0,-16.5,14.5,15.0
-34,30,0,-17.0,-16.5,15.0,15.5
-34,61,0,-17.0,-16.5,30.5,31.0
-34,63,0,-17.0,-16.5,31.5,32.0
-34,65,0,-17.0,-16.5,32.5,33.0
-34,69,0,-17.0,-16.5,34.5,35.0
-34,73,0,-17.0,-16.5,36.5,37.0
-34,89,0,-17.0,-16.5,44.5,45.0
-33,53,0,-16.5,-16.0,26.5,27.0
-33,54,0,-16.5,-16.0,27.0,27.5
-33,61,0,-16.5,-16.0,30.5,31.0
-33,79,0,-16.5,-16.0,39.5,40.0
-33,93,0,-16.5,-16.0,46.5,47.0
-32,52,0,-16.0,-15.5,26.0,26.5
-32,53,0,-16.0,-15.5,26.5,27.0
-32,71,0,-16.0,-15.5,35.5,36.0
-32,74,0,-16.0,-15.5,37.0,37.5
-32,76,0,-16.0,-15.5,38.0,38.5
-32,78,0,-16.0,-15.5,39.0,39.5
-32,96,0,-16.0,-15.5,48.0,48.5
-31,24,0,-15.5,-15.0,12.0,12.5
-31,45,0,-15.5,-15.0,22.5,23.0
-31,58,0,-15.5,-15.0,29.0,29.5
-31,100,0,-15.5,-15.0,50.0,50.5
-30,28,0,-15.0,-14.5,14.0,14.5
-30,45,0,-15.0,-14.5,22.5,23.0
-30,100,0,-15.0,-14.5,50.0,50.5
-29,30,0,-14.5,-14.0,15.0,15.5
-29,31,0,-14.5,-14.0,15.5,16.0
-29,33,0,-14.5,-14.0,16.5,17.0
-29,73,0,-14.5,-14.0,36.5,37.0
-29,79,0,-14.5,-14.0,39.5,40.0
-28,46,0,-14.0,-13.5,23.0,23.5
-28,47,0,-14.0,-13.5,23.5,24.0
-28,57,0,-14.0,-13.5,28.5,29.0
-28,58,0,-14.0,-13.5,29.0,29.5
-28,68,0,-14.0,-13.5,34.0,34.5
-27,49,0,-13.5,-13.0,24.5,25.0
-27,59,0,-13.5,-13.0,29.5,30.0
-27,66,0,-13.5,-13.0,33.0,33.5
-27,77,0,-13.5,-13.0,38.5,39.0
-26,31,0,-13.0,-12.5,15.5,16.0
-26,34,0,-13.0,-12.5,17.0,17.5
-26,61,0,-13.0,-12.5,30.5,31.0
-25,27,0,-12.5,-12.0,13.5,14.0
-25,36,0,-12.5,-12.0,18.0,18.5
-25,55,0,-12.5,-12.0,27.5,28.0
-25,80,0,-12.5,-12.0,40.0,40.5
-24,27,0,-12.0,-11.5,13.5,14.0
-24,48,0,-12.0,-11.5,24.0,24.5
-24,79,0,-12.0,-11.5,39.5,40.0
-23,30,0,-11.5,-11.0,15.0,15.5
-23,48,0,-11.5,-11.0,24.0,24.5
-23,49,0,-11.5,-11.0,24.5,25.0
-23,74,0,-11.5,-11.0,37.0,37.5
-22,62,0,-11.0,-10.5,31.0,31.5
-22,64,0,-11.0,-10.5,32.0,32.5
-22,67,0,-11.0,-10.5,33.5,34.0
-22,78,0,-11.0,-10.5,39.0,39.5
-21,38,0,-10.5,-10.0,19.0,19.5
-21,60,0,-10.5,-10.0,30.0,30.5
-21,79,0,-10.5,-10.0,39.5,40.0
-20,35,0,-10.0,-9.5,17.5,18.0
-20,40,0,-10.0,-9.5,20.0,20.5
-20,58,0,-10.0,-9.5,29.0,29.5
-20,69,0,-10.0,-9.5,34.5,35.0
-19,35,0,-9.5,-9.0,17.5,18.0
-19,58,0,-9.5,-9.0,29.0,29.5
-19,63,0,-9.5,-9.0,31.5,32.0
-19,66,0,-9.5,-9.0,33.0,33.5
-19,67,0,-9.5,-9.0,33.5,34.0
-18,35,0,-9.0,-8.5,17.5,18.0
-18,67,0,-9.0,-8.5,33.5,34.0
-18,70,0,-9.0,-8.5,35.0,35.5
-18,73,0,-9.0,-8.5,36.5,37.0
-17,30,0,-8.5,-8.0,15.0,15.5
-17,58,0,-8.5,-8.0,29.0,29.5
-17,66,0,-8.5,-8.0,33.0,33.5
-16,30,0,-8.0,-7.5,15.0,15.5
-15,41,0,-7.5,-7.0,20.5,21.0
-15,75,0,-7.5,-7.0,37.5,38.0
-14,63,0,-7.0,-6.5,31.5,32.0
-14,64,0,-7.0,-6.5,32.0,32.5
-14,74,0,-7.0,-6.5,37.0,37.5
-14,75,0,-7.0,-6.5,37.5,38.0
-13,62,0,-6.5,-6.0,31.0,31.5
-13,72,0,-6.5,-6.0,36.0,36.5
-12,59,0,-6.0,-5.5,29.5,30.0
-12,75,0,-6.0,-5.5,37.5,38.0
-11,77,0,-5.5,-5.0,38.5,39.0
-11,78,0,-5.5,-5.0,39.0,39.5
-10,60,0,-5.0,-4.5,30.0,30.5
-9,23,0,-4.5,-4.0,11.5,12.0
-9,26,0,-4.5,-4.0,13.0,13.5
-9,28,0,-4.5,-4.0,14.0,14.5
-9,59,0,-4.5,-4.0,29.5,30.0
-9,60,0,-4.5,-4.0,30.0,30.5
-9,71,0,-4.5,-4.0,35.5,36.0
-9,75,0,-4.5,-4.0,37.5,38.0
-9,78,0,-4.5,-4.0,39.0,39.5
-8,26,0,-4.0,-3.5,13.0,13.5
-8,29,0,-4.0,-3.5,14.5,15.0
-8,61,0,-4.0,-3.5,30.5,31.0
-8,67,0,-4.0,-3.5,33.5,34.0
-8,70,0,-4.0,-3.5,35.0,35.5
-8,75,0,-4.0,-3.5,37.5,38.0
-7,23,0,-3.5,-3.0,11.5,12.0
-7,31,0,-3.5,-3.0,15.5,16.0
-7,74,0,-3.5,-3.0,37.0,37.5
-7,76,0,-3.5,-3.0,38.0,38.5
-6,20,0,-3.0,-2.5,10.0,10.5
-6,25,0,-3.0,-2.5,12.5,13.0
-6,60,0,-3.0,-2.5,30.0,30.5
-5,62,0,-2.5,-2.0,31.0,31.5
-4,26,0,-2.0,-1.5,13.0,13.5
-4,28,0,-2.0,-1.5,14.0,14.5
-4,31,0,-2.0,-1.5,15.5,16.0
-4,61,0,-2.0,-1.5,30.5,31.0
-4,62,0,-2.0,-1.5,31.0,31.5
-4,66,0,-2.0,-1.5,33.0,33.5
-4,80,0,-2.0,-1.5,40.0,40.5
-3,21,0,-1.5,-1.0,10.5,11.0
-3,24,0,-1.5,-1.0,12.0,12.5
-3,30,0,-1.5,-1.0,15.0,15.5
-3,33,0,-1.5,-1.0,16.5,17.0
-3,59,0,-1.5,-1.0,29.5,30.0
-3,67,0,-1.5,-1.0,33.5,34.0
-3,71,0,-1.5,-1.0,35.5,36.0
-3,75,0,-1.5,-1.0,37.5,38.0
-2,17,0,-1.0,-0.5,8.5,9.0
-2,60,0,-1.0,-0.5,30.0,30.5
-2,74,0,-1.0,-0.5,37.0,37.5
-1,20,0,-0.5,0.0,10.0,10.5
-1,31,0,-0.5,0.0,15.5,16.0
-1,69,0,-0.5,0.0,34.5,35.0
-1,73,0,-0.5,0.0,36.5,37.0
-1,74,0,-0.5,0.0,37.0,37.5
0,12,0,0.0,0.5,6.0,6.5
0,13,0,0.0,0.5,6.5,7.0
0,18,0,0.0,0.5,9.0,9.5
0,19,0,0.0,0.5,9.5,10.0
0,21,0,0.0,0.5,10.5,11.0
0,63,0,0.0,0.5,31.5,32.0
0,67,0,0.0,0.5,33.5,34.0
0,68,0,0.0,0.5,34.0,34.5
0,76,0,0.0,0.5,38.0,38.5
0,79,0,0.0,0.5,39.5,40.0
1,67,0,0.5,1.0,33.5,34.0
2,64,0,1.0,1.5,32.0,32.5
2,66,0,1.0,1.5,33.0,33.5
2,68,0,1.0,1.5,34.0,34.5
2,73,0,1.0,1.5,36.5,37.0
2,75,0,1.0,1.5,37.5,38.0
3,68,0,1.5,2.0,34.0,34.5
4,24,0,2.0,2.5,12.0,12.5
4,62,0,2.0,2.5,31.0,31.5
4,66,0,2.0,2.5,33.0,33.5
4,69,0,2.0,2.5,34.5,35.0
5,22,0,2.5,3.0,11.0,11.5
5,64,0,2.5,3.0,32.0,32.5
5,67,0,2.5,3.0,33.5,34.0
5,72,0,2.5,3.0,36.0,36.5
6,63,0,3.0,3.5,31.5,32.0
6,65,0,3.0,3.5,32.5,33.0
7,65,0,3.5,4.0,32.5,33.0
7,69,0,3.5,4.0,34.5,35.0
7,71,0,3.5,4.0,35.5,36.0
7,82,0,3.5,4.0,41.0,41.5
8,-16,0,4.0,4.5,-8.0,-7.5
8,24,0,4.0,4.5,12.0,12.5
8,27,0,4.0,4.5,13.5,14.0
9,-4,0,4.5,5.0,-2.0,-1.5
9,13,0,4.5,5.0,6.5,7.0
9,14,0,4.5,5.0,7.0,7.5
9,22,0,4.5,5.0,11.0,11.5
10,-19,0,5.0,5.5,-9.5,-9.0
10,-16,0,5.0,5.5,-8.0,-7.5
10,-14,0,5.0,5.5,-7.0,-6.5
10,-9,0,5.0,5.5,-4.5,-4.0
10,-3,0,5.0,5.5,-1.5,-1.0
10,20,0,5.0,5.5,10.0,10.5
10,21,0,5.0,5.5,10.5,11.0
11,-21,0,5.5,6.0,-10.5,-10.0
11,-19,0,5.5,6.0,-9.5,-9.0
11,-13,0,5.5,6.0,-6.5,-6.0
11,-11,0,5.5,6.0,-5.5,-5.0
11,-4,0,5.5,6.0,-2.0,-1.5
11,-2,0,5.5,6.0,-1.0,-0.5
11,15,0,5.5,6.0,7.5,8.0
12,-15,0,6.0,6.5,-7.5,-7.0
12,-8,0,6.0,6.5,-4.0,-3.5
12,0,0,6.0,6.5,0.0,0.5
12,1,0,6.0,6.5,0.5,1.0
12,11,0,6.0,6.5,5.5,6.0
12,18,0,6.0,6.5,9.0,9.5
12,21,0,6.0,6.5,10.5,11.0
12,22,0,6.0,6.5,11.0,11.5
12,73,0,6.0,6.5,36.5,37.0
12,75,0,6.0,6.5,37.5,38.0
12,76,0,6.0,6.5,38.0,38.5
12,77,0,6.0,6.5,38.5,39.0
13,-10,0,6.5,7.0,-5.0,-4.5
13,-8,0,6.5,7.0,-4.0,-3.5
13,-5,0,6.5,7.0,-2.5,-2.0
13,-3,0,6.5,7.0,-1.5,-1.0
13,-2,0,6.5,7.0,-1.0,-0.5
13,0,0,6.5,7.0,0.0,0.5
13,3,0,6.5,7.0,1.5,2.0
13,7,0,6.5,7.0,3.5,4.0
13,28,0,6.5,7.0,14.0,14.5
13,80,0,6.5,7.0,40.0,40.5
13,82,0,6.5,7.0,41.0,41.5
13,88,0,6.5,7.0,44.0,44.5
14,-24,0,7.0,7.5,-12.0,-11.5
14,-22,0,7.0,7.5,-11.0,-10.5
14,-11,0,7.0,7.5,-5.5,-5.0
14,-9,0,7.0,7.5,-4.5,-4.0
14,-6,0,7.0,7.5,-3.0,-2.5
14,-4,0,7.0,7.5,-2.0,-1.5
14,-3,0,7.0,7.5,-1.5,-1.0
14,0,0,7.0,7.5,0.0,0.5
14,10,0,7.0,7.5,5.0,5.5
14,26,0,7.0,7.5,13.0,13.5
14,30,0,7.0,7.5,15.0,15.5
14,72,0,7.0,7.5,36.0,36.5
14,73,0,7.0,7.5,36.5,37.0
14,75,0,7.0,7.5,37.5,38.0
14,79,0,7.0,7.5,39.5,40.0
14,91,0,7.0,7.5,45.5,46.0
15,-23,0,7.5,8.0,-11.5,-11.0
15,-15,0,7.5,8.0,-7.5,-7.0
15,-11,0,7.5,8.0,-5.5,-5.0
15,-8,0,7.5,8.0,-4.0,-3.5
15,-7,0,7.5,8.0,-3.5,-3.0
15,-6,0,7.5,8.0,-3.0,-2.5
15,-5,0,7.5,8.0,-2.5,-2.0
15,-4,0,7.5,8.0,-2.0,-1.5
15,-2,0,7.5,8.0,-1.0,-0.5
15,1,0,7.5,8.0,0.5,1.0
15,4,0,7.5,8.0,2.0,2.5
15,10,0,7.5,8.0,5.0,5.5
15,12,0,7.5,8.0,6.0,6.5
15,13,0,7.5,8.0,6.5,7.0
15,19,0,7.5,8.0,9.5,10.0
15,21,0,7.5,8.0,10.5,11.0
15,69,0,7.5,8.0,34.5,35.0
15,75,0,7.5,8.0,37.5,38.0
15,87,0,7.5,8.0,43.5,44.0
15,89,0,7.5,8.0,44.5,45.0
16,-24,0,8.0,8.5,-12.0,-11.5
16,-23,0,8.0,8.5,-11.5,-11.0
16,-17,0,8.0,8.5,-8.5,-8.0
16,-9,0,8.0,8.5,-4.5,-4.0
16,-8,0,8.0,8.5,-4.0,-3.5
16,0,0,8.0,8.5,0.0,0.5
16,4,0,8.0,8.5,2.0,2.5
16,26,0,8.0,8.5,13.0,13.5
16,30,0,8.0,8.5,15.0,15.5
16,67,0,8.0,8.5,33.5,34.0
16,68,0,8.0,8.5,34.0,34.5
16,69,0,8.0,8.5,34.5,35.0
16,71,0,8.0,8.5,35.5,36.0
16,78,0,8.0,8.5,39.0,39.5
17,-22,0,8.5,9.0,-11.0,-10.5
17,-9,0,8.5,9.0,-4.5,-4.0
17,-3,0,8.5,9.0,-1.5,-1.0
17,12,0,8.5,9.0,6.0,6.5
17,22,0,8.5,9.0,11.0,11.5
18,-26,0,9.0,9.5,-13.0,-12.5
18,-23,0,9.0,9.5,-11.5,-11.0
18,-18,0,9.0,9.5,-9.0,-8.5
18,-12,0,9.0,9.5,-6.0,-5.5
18,-5,0,9.0,9.5,-2.5,-2.0
18,-1,0,9.0,9.5,-0.5,0.0
18,0,0,9.0,9.5,0.0,0.5
18,9,0,9.0,9.5,4.5,5.0
18,14,0,9.0,9.5,7.0,7.5
18,71,0,9.0,9.5,35.5,36.0
18,73,0,9.0,9.5,36.5,37.0
18,82,0,9.0,9.5,41.0,41.5
19,-27,0,9.5,10.0,-13.5,-13.0
19,-20,0,9.5,10.0,-10.0,-9.5
19,-15,0,9.5,10.0,-7.5,-7.0
19,15,0,9.5,10.0,7.5,8.0
19,19,0,9.5,10.0,9.5,10.0
19,25,0,9.5,10.0,12.5,13.0
19,77,0,9.5,10.0,38.5,39.0
20,-19,0,10.0,10.5,-9.5,-9.0
20,-7,0,10.0,10.5,-3.5,-3.0
20,-1,0,10.0,10.5,-0.5,0.0
20,2,0,10.0,10.5,1.0,1.5
20,4,0,10.0,10.5,2.0,2.5
20,17,0,10.0,10.5,8.5,9.0
20,19,0,10.0,10.5,9.5,10.0
20,23,0,10.0,10.5,11.5,12.0
20,73,0,10.0,10.5,36.5,37.0
21,-24,0,10.5,11.0,-12.0,-11.5
21,-20,0,10.5,11.0,-10.0,-9.5
21,-8,0,10.5,11.0,-4.0,-3.5
21,-5,0,10.5,11.0,-2.5,-2.0
21,-3,0,10.5,11.0,-1.5,-1.0
21,-2,0,10.5,11.0,-1.0,-0.5
21,72,0,10.5,11.0,36.0,36.5
21,78,0,10.5,11.0,39.0,39.5
22,-28,0,11.0,11.5,-14.0,-13.5
22,-26,0,11.0,11.5,-13.0,-12.5
22,-17,0,11.0,11.5,-8.5,-8.0
22,-16,0,11.0,11.5,-8.0,-7.5
22,-13,0,11.0,11.5,-6.5,-6.0
22,-8,0,11.0,11.5,-4.0,-3.5
22,-2,0,11.0,11.5,-1.0,-0.5
22,0,0,11.0,11.5,0.0,0.5
22,75,0,11.0,11.5,37.5,38.0
22,78,0,11.0,11.5,39.0,39.5
22,81,0,11.0,11.5,40.5,41.0
23,-25,0,11.5,12.0,-12.5,-12.0
23,-8,0,11.5,12.0,-4.0,-3.5
23,6,0,11.5,12.0,3.0,3.5
23,16,0,11.5,12.0,8.0,8.5
23,26,0,11.5,12.0,13.0,13.5
23,59,0,11.5,12.0,29.5,30.0
23,68,0,11.5,12.0,34.0,34.5
23,74,0,11.5,12.0,37.0,37.5
23,82,0,11.5,12.0,41.0,41.5
24,-19,0,12.0,12.5,-9.5,-9.0
24,-16,0,12.0,12.5,-8.0,-7.5
24,-13,0,12.0,12.5,-6.5,-6.0
24,5,0,12.0,12.5,2.5,3.0
24,17,0,12.0,12.5,8.5,9.0
24,59,0,12.0,12.5,29.5,30.0
24,76,0,12.0,12.5,38.0,38.5
25,-31,0,12.5,13.0,-15.5,-15.0
25,-25,0,12.5,13.0,-12.5,-12.0
25,-5,0,12.5,13.0,-2.5,-2.0
25,-4,0,12.5,13.0,-2.0,-1.5
25,12,0,12.5,13.0,6.0,6.5
25,14,0,12.5,13.0,7.0,7.5
25,75,0,12.5,13.0,37.5,38.0
25,77,0,12.5,13.0,38.5,39.0
26,-31,0,13.0,13.5,-15.5,-15.0
26,-18,0,13.0,13.5,-9.0,-8.5
26,-13,0,13.0,13.5,-6.5,-6.0
26,-10,0,13.0,13.5,-5.0,-4.5
26,-9,0,13.0,13.5,-4.5,-4.0
26,4,0,13.0,13.5,2.0,2.5
26,18,0,13.0,13.5,9.0,9.5
26,22,0,13.0,13.5,11.0,11.5
26,67,0,13.0,13.5,33.5,34.0
27,-21,0,13.5,14.0,-10.5,-10.0
27,-15,0,13.5,14.0,-7.5,-7.0
27,-12,0,13.5,14.0,-6.0,-5.5
27,-8,0,13.5,14.0,-4.0,-3.5
27,2,0,13.5,14.0,1.0,1.5
27,15,0,13.5,14.0,7.5,8.0
27,17,0,13.5,14.0,8.5,9.0
27,19,0,13.5,14.0,9.5,10.0
27,24,0,13.5,14.0,12.0,12.5
27,62,0,13.5,14.0,31.0,31.5
27,78,0,13.5,14.0,39.0,39.5
28,-26,0,14.0,14.5,-13.0,-12.5
28,-21,0,14.0,14.5,-10.5,-10.0
28,-20,0,14.0,14.5,-10.0,-9.5
28,-17,0,14.0,14.5,-8.5,-8.0
28,-8,0,14.0,14.5,-4.0,-3.5
28,2,0,14.0,14.5,1.0,1.5
28,5,0,14.0,14.5,2.5,3.0
28,8,0,14.0,14.5,4.0,4.5
28,10,0,14.0,14.5,5.0,5.5
28,11,0,14.0,14.5,5.5,6.0
28,19,0,14.0,14.5,9.5,10.0
28,79,0,14.0,14.5,39.5,40.0
29,-47,0,14.5,15.0,-23.5,-23.0
29,-26,0,14.5,15.0,-13.0,-12.5
29,-22,0,14.5,15.0,-11.0,-10.5
29,-12,0,14.5,15.0,-6.0,-5.5
29,-9,0,14.5,15.0,-4.5,-4.0
29,0,0,14.5,15.0,0.0,0.5
29,1,0,14.5,15.0,0.5,1.0
29,6,0,14.5,15.0,3.0,3.5
29,64,0,14.5,15.0,32.0,32.5
30,-32,0,15.0,15.5,-16.0,-15.5
30,-31,0,15.0,15.5,-15.5,-15.0
30,-30,0,15.0,15.5,-15.0,-14.5
30,-29,0,15.0,15.5,-14.5,-14.0
30,-27,0,15.0,15.5,-13.5,-13.0
30,-21,0,15.0,15.5,-10.5,-10.0
30,-8,0,15.0,15.5,-4.0,-3.5
30,12,0,15.0,15.5,6.0,6.5
31,-32,0,15.5,16.0,-16.0,-15.5
31,-26,0,15.5,16.0,-13.0,-12.5
31,-19,0,15.5,16.0,-9.5,-9.0
31,0,0,15.5,16.0,0.0,0.5
31,10,0,15.5,16.0,5.0,5.5
31,13,0,15.5,16.0,6.5,7.0
31,65,0,15.5,16.0,32.5,33.0
32,-32,0,16.0,16.5,-16.0,-15.5
32,-30,0,16.0,16.5,-15.0,-14.5
32,-26,0,16.0,16.5,-13.0,-12.5
32,-23,0,16.0,16.5,-11.5,-11.0
32,12,0,16.0,16.5,6.0,6.5
33,-1,0,16.5,17.0,-0.5,0.0
34,-28,0,17.0,17.5,-14.0,-13.5
34,-27,0,17.0,17.5,-13.5,-13.0
36,63,0,18.0,18.5,31.5,32.0
47,-32,0,23.5,24.0,-16.0,-15.5
57,-21,0,28.5,29.0,-10.5,-10.0
58,-19,0,29.0,29.5,-9.5,-9.0
60,-20,0,30.0,30.5,-10.0,-9.5
60,26,0,30.0,30.5,13.0,13.5
61,-18,0,30.5,31.0,-9.0,-8.5
61,-12,0,30.5,31.0,-6.0,-5.5
61,-11,0,30.5,31.0,-5.5,-5.0
63,-20,0,31.5,32.0,-10.0,-9.5
63,-18,0,31.5,32.0,-9.0,-8.5
63,-16,0,31.5,32.0,-8.0,-7.5
63,-15,0,31.5,32.0,-7.5,-7.0
64,-12,0,32.0,32.5,-6.0,-5.5
64,20,0,32.0,32.5,10.0,10.5
65,-15,0,32.5,33.0,-7.5,-7.0
65,-14,0,32.5,33.0,-7.0,-6.5
65,-12,0,32.5,33.0,-6.0,-5.5
65,20,0,32.5,33.0,10.0,10.5
66,-15,0,33.0,33.5,-7.5,-7.0
66,-10,0,33.0,33.5,-5.0,-4.5
66,-9,0,33.0,33.5,-4.5,-4.0
66,15,0,33.0,33.5,7.5,8.0
67,-15,0,33.5,34.0,-7.5,-7.0
67,-10,0,33.5,34.0,-5.0,-4.5
68,-14,0,34.0,34.5,-7.0,-6.5
68,-10,0,34.0,34.5,-5.0,-4.5
69,-6,0,34.5,35.0,-3.0,-2.5
69,-5,0,34.5,35.0,-2.5,-2.0
69,-4,0,34.5,35.0,-2.0,-1.5
69,20,0,34.5,35.0,10.0,10.5
